company,barName,REF,reviewDate,cocoaPercent,companyLocation,rating,beanType,broadBeanOrigin,SouthAmericaCo,SouthAmericaBeans
Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,NA,BOLIVIA,NO,YES
Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,NA,PERU,NO,YES
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,NA,ECUADOR,NO,YES
Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,NA,VENEZUELA,NO,YES
Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3,Trinitario,DOMINICAN REPUBLIC,NO,NO
Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,NA,BOLIVIA,NO,YES
Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3,NA,BOLIVIA,NO,YES
Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,NA,PERU,NO,YES
Amano,Morobe,725,2011,0.7,U.S.A.,4,NA,PAPUA NEW GUINEA,NO,NO
Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,NA,DOMINICAN REPUBLIC,NO,NO
Amano,Guayas,470,2010,0.7,U.S.A.,4,NA,ECUADOR,NO,YES
Amano,Chuao,544,2010,0.7,U.S.A.,3,Trinitario,VENEZUELA,NO,YES
Amano,Montanya,363,2009,0.7,U.S.A.,3,NA,VENEZUELA,NO,YES
Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,NA,INDONESIA,NO,NO
Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Trinitario,MADAGASCAR,NO,NO
Amano,Cuyagua,147,2007,0.7,U.S.A.,3,NA,VENEZUELA,NO,YES
Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Criollo,VENEZUELA,NO,YES
Amatller (Simon Coll),Ghana,322,2009,0.7,SPAIN,3,Forastero,GHANA,NO,NO
Amatller (Simon Coll),Ecuador,327,2009,0.7,SPAIN,2.75,NA,ECUADOR,NO,YES
Amatller (Simon Coll),Ecuador,464,2009,0.85,SPAIN,2.75,NA,ECUADOR,NO,YES
Amatller (Simon Coll),Ghana,464,2009,0.85,SPAIN,3,Forastero,GHANA,NO,NO
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,PERU,3.25,NA,PERU,YES,YES
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,PERU,3.5,Trinitario,PERU,YES,YES
Ambrosia,Belize,1494,2015,0.64,CANADA,3,Trinitario,BELIZE,NO,NO
Ambrosia,Madagascar,1494,2015,0.66,CANADA,3.25,Trinitario,MADAGASCAR,NO,NO
Ambrosia,Dominican Republic,1498,2015,0.75,CANADA,3.25,NA,DOMINICAN REPUBLIC,NO,NO
Ambrosia,Papua New Guinea,1498,2015,0.63,CANADA,3.25,NA,PAPUA NEW GUINEA,NO,NO
Ambrosia,Venezuela,1498,2015,0.7,CANADA,3.25,NA,VENEZUELA,NO,YES
Ambrosia,Peru,1498,2015,0.68,CANADA,3.5,NA,PERU,NO,YES
Amedei,"Piura, Blanco de Criollo",979,2012,0.7,ITALY,3.75,NA,PERU,NO,YES
Amedei,Porcelana,111,2007,0.7,ITALY,4,Criollo (Porcelana),VENEZUELA,NO,YES
Amedei,Nine,111,2007,0.75,ITALY,4,Blend, ,NO,NO
Amedei,Chuao,111,2007,0.7,ITALY,5,Trinitario,VENEZUELA,NO,YES
Amedei,Ecuador,123,2007,0.7,ITALY,3,Trinitario,ECUADOR,NO,YES
Amedei,Jamaica,123,2007,0.7,ITALY,3,Trinitario,JAMAICA,NO,NO
Amedei,Grenada,123,2007,0.7,ITALY,3.5,Trinitario,GRENADA,NO,NO
Amedei,Venezuela,123,2007,0.7,ITALY,3.75,Trinitario (85% Criollo),VENEZUELA,NO,YES
Amedei,Madagascar,123,2007,0.7,ITALY,4,Trinitario (85% Criollo),MADAGASCAR,NO,NO
Amedei,Trinidad,129,2007,0.7,ITALY,3.5,Trinitario,TRINIDAD,NO,NO
Amedei,Toscano Black,170,2007,0.63,ITALY,3.5,Blend, ,NO,NO
Amedei,Toscano Black,40,2006,0.7,ITALY,5,Blend, ,NO,NO
Amedei,Toscano Black,75,2006,0.66,ITALY,4,Blend, ,NO,NO
AMMA,Catongo,1065,2013,0.75,BRAZIL,3.25,Forastero (Catongo),BRAZIL,YES,YES
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,BRAZIL,2.75,Forastero (Parazinho),BRAZIL,YES,YES
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,BRAZIL,3.75,Forastero (Parazinho),BRAZIL,YES,YES
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,BRAZIL,3.75,Forastero (Parazinho),BRAZIL,YES,YES
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,BRAZIL,4,Forastero (Parazinho),BRAZIL,YES,YES
Anahata,Elvesia,1259,2014,0.75,U.S.A.,3,NA,DOMINICAN REPUBLIC,NO,NO
Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,NA,BOLIVIA,NO,YES
Ara,Madagascar,1375,2014,0.75,FRANCE,3,Trinitario,MADAGASCAR,NO,NO
Ara,Chiapas,1379,2014,0.72,FRANCE,2.5,NA,MEXICO,NO,NO
Ara,Equateur,1379,2014,0.75,FRANCE,2.75,NA,ECUADOR,NO,YES
Ara,Trincheras,1379,2014,0.75,FRANCE,3,NA,VENEZUELA,NO,YES
Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinitario,TRINIDAD,NO,NO
Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,NA,TANZANIA,NO,NO
Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Trinitario,VIETNAM,NO,NO
Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,NA,ECUADOR,NO,YES
Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,NA,ECUADOR,NO,YES
Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,NA,GUATEMALA,NO,NO
Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,NA,NICARAGUA,NO,NO
Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,NA,HONDURAS,NO,NO
Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4,NA,COSTA RICA,NO,NO
Arete,Phantom,1924,2016,0.7,U.S.A.,4,Forastero (Nacional),PERU,NO,YES
Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,NA,DOMINICAN REPUBLIC,NO,NO
Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,NA,FIJI,NO,NO
Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,NA,VIETNAM,NO,NO
Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,NA,BRAZIL,NO,YES
Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Forastero (Nacional),PERU,NO,YES
Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Forastero (Nacional),ECUADOR,NO,YES
Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,NA,DOMINCAN REPUBLIC,NO,NO
Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Trinitario,BELIZE,NO,NO
Arete,Chuno,1598,2015,0.7,U.S.A.,4,"Criollo, Trinitario",NICARAGUA,NO,NO
Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,NA,BRAZIL,NO,YES
Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,NA,GUATEMALA,NO,NO
Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,NA,ECUADOR,NO,YES
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinitario,TRINIDAD,NO,NO
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,NA,COLOMBIA,NO,YES
Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4,NA,HAITI,NO,NO
Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,NA,PANAMA,NO,NO
Artisan du Chocolat,Venezuela,486,2010,1,U.K.,1.75,NA,VENEZUELA,NO,YES
Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Trinitario,JAMAICA,NO,NO
Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,NA,COSTA RICA,NO,NO
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Trinitario,VIETNAM,NO,NO
Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,NA,INDONESIA,NO,NO
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,"Criollo, Trinitario",VENEZUELA,NO,YES
Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Trinitario,INDONESIA,NO,NO
Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,NA,BRAZIL,NO,YES
Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3,"Criollo, Trinitario",MADAGASCAR,NO,NO
Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3,Criollo,PERU,NO,YES
Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Trinitario,DOMINICAN REPUBLIC,NO,NO
Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Forastero,CONGO,NO,NO
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Trinitario,COLOMBIA,NO,YES
Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Trinitario,TANZANIA,NO,NO
Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Trinitario,TANZANIA,NO,NO
Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Trinitario,HONDURAS,NO,NO
Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Trinitario,PHILIPPINES,NO,NO
Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Trinitario,MEXICO,NO,NO
Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3,Forastero (Arriba),ECUADOR,NO,YES
Bahen & Co.,Houseblend,1474,2015,0.8,AUSTRALIA,3.25,NA, ,NO,NO
Bahen & Co.,Papua New Guinea,1474,2015,0.7,AUSTRALIA,3.5,NA,PAPUA NEW GUINEA,NO,NO
Bahen & Co.,Sambirano,995,2012,0.7,AUSTRALIA,3,Trinitario,MADAGASCAR,NO,NO
Bahen & Co.,Bahia,999,2012,0.7,AUSTRALIA,2.5,NA,BRAZIL,NO,YES
Bahen & Co.,Houseblend,999,2012,0.7,AUSTRALIA,2.5,Blend, ,NO,NO
Bakau,"Bambamarca, 2015",1454,2015,0.7,PERU,2.75,NA,PERU,YES,YES
Bakau,"Huallabamba, 2015",1454,2015,0.7,PERU,3.5,NA,PERU,YES,YES
Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,NA,BRAZIL,NO,YES
Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4,Forastero (Nacional),PERU,NO,YES
Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,NA,DOMINICAN REPUBLIC,NO,NO
Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,NA,MEXICO,NO,NO
Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Trinitario,MADAGASCAR,NO,NO
Baravelli's,single estate,955,2012,0.8,WALES,2.75,NA,COSTA RICA,NO,NO
Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,NA,DOMINCAN REPUBLIC,NO,NO
Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,NA,BRAZIL,NO,YES
Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,NA,ECUADOR,NO,YES
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3,NA,MALAYSIA,NO,NO
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,NA,MALAYSIA,NO,NO
Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,NA,BRAZIL,NO,YES
Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,NA,DOMINCAN REPUBLIC,NO,NO
Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,NA,ECUADOR,NO,YES
Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,NA,ECUADOR,NO,YES
Belcolade,Costa Rica,586,2010,0.64,BELGIUM,2.75,NA,COSTA RICA,NO,NO
Belcolade,Papua New Guinea,586,2010,0.64,BELGIUM,2.75,NA,PAPUA NEW GUINEA,NO,NO
Belcolade,Peru,586,2010,0.64,BELGIUM,2.75,NA,PERU,NO,YES
Belcolade,Ecuador,586,2010,0.71,BELGIUM,3.5,NA,ECUADOR,NO,YES
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,"Criollo, Trinitario",TANZANIA,NO,NO
Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,U.S.A.,3.25,NA,BOLIVIA,NO,YES
Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,U.S.A.,3.5,NA,DOMINCAN REPUBLIC,NO,NO
Belyzium,"Belize south, low fermentation",1768,2016,0.83,GERMANY,2.75,Trinitario,BELIZE,NO,NO
Belyzium,Belize south,1768,2016,0.78,GERMANY,3,Trinitario,BELIZE,NO,NO
Belyzium,Belize south,1768,2016,0.83,GERMANY,3.5,Trinitario,BELIZE,NO,NO
Benoit Nihant,Baracoa,1141,2013,0.74,BELGIUM,3.5,Trinitario,CUBA,NO,NO
Benoit Nihant,Chuao,1141,2013,0.74,BELGIUM,3.5,Criollo,VENEZUELA,NO,YES
Benoit Nihant,Cuyagua Village,1141,2013,0.74,BELGIUM,3.5,Criollo,VENEZUELA,NO,YES
Benoit Nihant,Rio Peripa H.,1141,2013,0.73,BELGIUM,4,Trinitario,ECUADOR,NO,YES
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,BELGIUM,4,Trinitario,INDONESIA,NO,NO
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,BELGIUM,3.75,Trinitario,MADAGASCAR,NO,NO
Bernachon,Nature,797,2012,0.55,FRANCE,2.75,NA, ,NO,NO
Beschle (Felchlin),Madagascar,636,2011,0.64,SWITZERLAND,3,Trinitario,MADAGASCAR,NO,NO
Beschle (Felchlin),Maracaibo,636,2011,0.88,SWITZERLAND,3,Criollo,VENEZUELA,NO,YES
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,SWITZERLAND,3.5,NA,VENEZUELA,NO,YES
Beschle (Felchlin),Ecuador,636,2011,0.72,SWITZERLAND,4,NA,ECUADOR,NO,YES
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,SWITZERLAND,3.25,Trinitario,VENEZUELA,NO,YES
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,SWITZERLAND,3.25,Criollo (Porcelana),VENEZUELA,NO,YES
Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,SWITZERLAND,3.5,NA,INDONESIA,NO,NO
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,0.72,SWITZERLAND,3.5,NA,VENEZUELA,NO,YES
Bisou,"Nicaragua, American style",1482,2015,0.76,U.S.A.,2.5,NA,NICARAGUA,NO,NO
Bisou,"San Andres, American style",1486,2015,0.76,U.S.A.,2.5,NA,COSTA RICA,NO,NO
Bisou,"San Andres, silk",1486,2015,0.78,U.S.A.,2.5,NA,COSTA RICA,NO,NO
Bisou,Belize,1486,2015,0.86,U.S.A.,3.25,Trinitario,BELIZE,NO,NO
Bittersweet Origins,Ghana,963,2012,0.72,U.S.A.,3.5,Forastero,GHANA,NO,NO
Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,U.S.A.,3.25,NA,INDONESIA,NO,NO
Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,U.S.A.,3.75,Blend,"DOMINICAN REP., BALI",NO,NO
Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,U.S.A.,2.75,NA,INDONESIA,NO,NO
Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,U.S.A.,3,Trinitario,MADAGASCAR,NO,NO
Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3,Criollo,VENEZUELA,NO,YES
Bittersweet Origins,Puerto Plata,414,2009,0.75,U.S.A.,3,NA,DOMINICAN REPUBLIC,NO,NO
Bittersweet Origins,Puerto Plata,414,2009,0.65,U.S.A.,3.5,NA,DOMINICAN REPUBLIC,NO,NO
Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Trinitario,MADAGASCAR,NO,NO
Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Trinitario,MADAGASCAR,NO,NO
Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3,Trinitario,MADAGASCAR,NO,NO
Bittersweet Origins,Bocas del Toro,233,2008,0.75,U.S.A.,3.5,NA,PANAMA,NO,NO
Bittersweet Origins,Puerto Plata,233,2008,0.68,U.S.A.,3.75,NA,DOMINICAN REPUBLIC,NO,NO
Bittersweet Origins,Ankasa,256,2008,0.7,U.S.A.,3,Forastero,GHANA,NO,NO
Black Mountain,La Red,256,2008,0.7,U.S.A.,2.75,NA,DOMINICAN REPUBLIC,NO,NO
Black Mountain,Carenero Superior,256,2008,0.7,U.S.A.,2.75,Trinitario,VENEZUELA,NO,YES
Black Mountain,Matiguas,256,2008,0.7,U.S.A.,3,NA,NICARAGUA,NO,NO
Black River (A. Morin),Blue Mountain Region,1331,2014,0.7,U.K.,2.75,Trinitario,JAMAICA,NO,NO
Blanxart,"Congo, Grand Cru",1046,2013,0.82,SPAIN,3.5,Forastero,CONGO,NO,NO
Blanxart,Organic Dark,322,2009,0.72,SPAIN,2.75,NA, ,NO,NO
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Trinitario,MADAGASCAR,NO,NO
Blue Bandana,Lachua,1752,2016,0.75,U.S.A.,2.75,NA,GUATEMALA,NO,NO
Blue Bandana,Kokoa Kamili,1752,2016,0.75,U.S.A.,3.5,NA,TANZANIA,NO,NO
Blue Bandana,Zorzal Reserva,1756,2016,0.75,U.S.A.,3,NA,DOMINICAN REPUBLIC,NO,NO
Blue Bandana,Guatemala,911,2012,0.7,U.S.A.,3.5,NA,GUATEMALA,NO,NO
Blue Bandana,Madagascar,911,2012,0.7,U.S.A.,3.75,Trinitario,MADAGASCAR,NO,NO
Bonnat,Selva Maya,1912,2016,0.75,FRANCE,3.5,NA,MEXICO,NO,NO
Bonnat,Kaori,1339,2014,0.75,FRANCE,4,NA,BRAZIL,NO,YES
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,0.75,FRANCE,3.25,NA,DOMINICAN REPUBLIC,NO,NO
Bonnat,Surfin,1418,2014,0.65,FRANCE,3.75,NA,"VENEZ,AFRICA,BRASIL,PERU,MEX",NO,NO
Bonnat,Maragnam,1038,2013,0.75,FRANCE,3.5,NA,BRAZIL,NO,YES
Bonnat,Gabon,1042,2013,0.75,FRANCE,3.25,NA,GABON,NO,NO
Bonnat,Cuba,629,2011,0.75,FRANCE,3.5,Trinitario,CUBA,NO,NO
Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,FRANCE,3.5,NA,PERU,NO,YES
Bonnat,Piura Blanco,629,2011,0.75,FRANCE,3.5,Forastero (Nacional),PERU,NO,YES
Bonnat,Libanio,629,2011,0.75,FRANCE,3.75,NA,BRAZIL,NO,YES
Bonnat,Haiti,629,2011,0.75,FRANCE,4,NA,HAITI,NO,NO
Bonnat,"Madagascar, 100% criollo",629,2011,0.75,FRANCE,4,Criollo,MADAGASCAR,NO,NO
Bonnat,Juliana,672,2011,0.75,FRANCE,3.5,NA,BRAZIL,NO,YES
Bonnat,Jamaique,761,2011,0.75,FRANCE,3.25,Trinitario,JAMAICA,NO,NO
Bonnat,Ivory Coast,331,2009,0.75,FRANCE,3,NA,IVORY COAST,NO,NO
Bonnat,"Porcelana, Apotequil",336,2009,0.75,FRANCE,2.75,Criollo,PERU,NO,YES
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,FRANCE,3,Criollo,MEXICO,NO,NO
Bonnat,"Xoconusco, cacao Real",395,2009,0.75,FRANCE,3,Criollo,MEXICO,NO,NO
Bonnat,"Porcelana, Venezuela",199,2008,0.75,FRANCE,4,Criollo (Porcelana),VENEZUELA,NO,YES
Bonnat,Equateur,123,2007,0.75,FRANCE,2.5,Forastero (Arriba),ECUADOR,NO,YES
Bonnat,Trinite,24,2006,0.75,FRANCE,3.75,Trinitario,CARRIBEAN,NO,NO
Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,FRANCE,4,NA,VENEZUELA,NO,YES
Bonnat,"Maracaibo, El Rosario",48,2006,0.75,FRANCE,4,Criollo,VENEZUELA,NO,YES
Bonnat,Madagascar,75,2006,0.75,FRANCE,4,Trinitario,MADAGASCAR,NO,NO
Bonnat,One Hundred,81,2006,1,FRANCE,1.5,NA, ,NO,NO
Bonnat,Ceylan,81,2006,0.75,FRANCE,3,NA,SRI LANKA,NO,NO
Bonnat,Chuao,81,2006,0.75,FRANCE,4,Trinitario,VENEZUELA,NO,YES
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,0.77,ECUADOR,3.25,Forastero (Arriba),ECUADOR,YES,YES
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,1,ECUADOR,1.5,Forastero (Arriba),ECUADOR,YES,YES
Bowler Man,Maya Mountain,1267,2014,0.7,U.S.A.,2.75,Trinitario,BELIZE,NO,NO
Bowler Man,Conacado,1271,2014,0.7,U.S.A.,2.75,NA,DOMINICAN REPUBLIC,NO,NO
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,U.S.A.,3.5,Criollo,VENEZUELA,NO,YES
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.7,U.S.A.,3.75,NA,NICARAGUA,NO,NO
Brasstown aka It's Chocolate,Conacado,1462,2015,0.68,U.S.A.,3.75,NA,DOMINICAN REPUBLIC,NO,NO
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,U.S.A.,3.75,Trinitario,BELIZE,NO,NO
